File,Y,Pred
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1388\GOPR1388-frame910.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\5\GOPR0930.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\13\GOPR1542\GOPR1542-frame830.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1643\GOPR1643-frame635.jpg,Clean,Clean
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\5\GOPR0632\GOPR0632-frame70.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\4\GOPR0918\GOPR0918-frame1010.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\19\GOPR1237\GOPR1237-frame340.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Clean\GOPR0944\GOPR0944-frame360.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\3\GOPR1433\GOPR1433-frame1370.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\20\GOPR1610\GOPR1610-frame260.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\15\GOPR1157.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\16\GOPR1180\GOPR1180-frame220.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\15\GOPR1561\GOPR1561-frame290.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\14\GOPR1550\GOPR1550-frame75.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\19\GOPR1603\GOPR1603-frame570.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\5\GOPR0632\GOPR0632-frame330.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\7\GOPR1475\GOPR1475-frame370.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1389\GOPR1389-frame130.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\16\GOPR1571\GOPR1571-frame85.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1388\GOPR1388-frame510.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\3\GOPR1433\GOPR1433-frame1170.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//2-7-18\Dirty (80-100)\2\GOPR0741.JPG,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\4\GOPR0894.JPG,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\5\GOPR1455\GOPR1455-frame720.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\A\GOPR1646\GOPR1646-frame5701.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\9\GOPR1031\GOPR1031-frame160.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\2\GOPR0858\GOPR0858-frame350.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\12\GOPR1099\GOPR1099-frame720.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\13\GOPR1542\GOPR1542-frame630.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\6\GOPR0974.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame170.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\19\GOPR1238.JPG,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\A\GOPR1646\GOPR1646-frame4930.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (80-100)\22\GOPR1306\GOPR1306-frame120.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\5\GOPR1455\GOPR1455-frame70.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (80-100)\22\GOPR1306\GOPR1306-frame140.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\13\GOPR1111\GOPR1111-frame180.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\16\GOPR1571\GOPR1571-frame1290.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1388\GOPR1388-frame70.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\7\GOPR0993.JPG,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\12\GOPR1099\GOPR1099-frame240.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\15\GOPR1561\GOPR1561-frame195.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Clean\GOPR1024.JPG,Clean,Clean
D://Solar Panels//Cropped//2-7-18\Clean\GOPR0646.JPG,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\4\GOPR0910.JPG,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\2\GOPR0858\GOPR0858-frame550.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\5\GOPR0632\GOPR0632-frame360.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\15\GOPR1152\GOPR1152-frame420.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\9\GOPR1035.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\12\GOPR1099\GOPR1099-frame460.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\14\GOPR1550\GOPR1550-frame455.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame130.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\3\GOPR1433\GOPR1433-frame10.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\A\GOPR1645\GOPR1645-frame5600.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Clean\GOPR0944\GOPR0944-frame770.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Clean\GOPR1339\GOPR1339-frame210.jpg,Clean,Clean
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\2\GOPR0574.JPG,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\14\GOPR1133\GOPR1133-frame170.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\A\GOPR1649\GOPR1649-frame7741.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\14\GOPR1133\GOPR1133-frame0.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\3\GOPR1433\GOPR1433-frame160.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame535.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\10\GOPR1507.JPG,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\15\GOPR1152\GOPR1152-frame610.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\12\GOPR1099\GOPR1099-frame700.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\18\GOPR1595\GOPR1595-frame355.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\9\GOPR1031\GOPR1031-frame540.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\6\GOPR1465\GOPR1465-frame420.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\4\GOPR1440.JPG,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\6\GOPR1465\GOPR1465-frame480.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\18\GOPR1595\GOPR1595-frame720.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\3\GOPR1433\GOPR1433-frame790.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\5\GOPR1455\GOPR1455-frame790.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\19\GOPR1603\GOPR1603-frame515.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\A\GOPR1649\GOPR1649-frame7731.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Clean\A\GOPR1646\GOPR1646-frame6294.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\13\GOPR1542\GOPR1542-frame240.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\4\GOPR1437\GOPR1437-frame100.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\1\GOPR0552\GOPR0552-frame310.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//2-7-18\Clean\GOPR0608.JPG,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\18\GOPR1225\GOPR1225-frame340.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\1\GOPR0552\GOPR0552-frame900.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\A\GOPR1649\GOPR1649-frame7738.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\7\GOPR0670.JPG,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\12\GOPR1527\GOPR1527-frame0.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\6\GOPR0979\GOPR0979-frame190.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\5\GOPR1455\GOPR1455-frame310.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\A\GOPR1649\GOPR1649-frame7727.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\3\GOPR1433\GOPR1433-frame730.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//2-7-18\Dirty (80-100)\1\GOPR0684\GOPR0684-frame100.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\20\GOPR1610\GOPR1610-frame220.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\7\GOPR0669.JPG,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\14\GOPR1550\GOPR1550-frame500.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\21\GOPR1294.JPG,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\13\GOPR1111\GOPR1111-frame350.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\4\GOPR0918\GOPR0918-frame520.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\9\GOPR1498\GOPR1498-frame60.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\15\GOPR1561\GOPR1561-frame405.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\19\GOPR1603\GOPR1603-frame700.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\14\GOPR1133\GOPR1133-frame610.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//2-7-18\Dirty (80-100)\4\GOPR0786\GOPR0786-frame510.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\16\GOPR1180\GOPR1180-frame790.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\12\GOPR1527\GOPR1527-frame420.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Clean\GOPR1339\GOPR1339-frame20.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\19\GOPR1603\GOPR1603-frame575.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (80-100)\22\GOPR1306\GOPR1306-frame850.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\9\GOPR1046.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\13\GOPR1542\GOPR1542-frame610.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\9\GOPR1031\GOPR1031-frame720.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\20\GOPR1258\GOPR1258-frame260.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\10\GOPR1056\GOPR1056-frame580.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\15\GOPR1561\GOPR1561-frame530.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (80-100)\22\GOPR1306\GOPR1306-frame30.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\15\GOPR1561\GOPR1561-frame300.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\4\GOPR0619.JPG,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\6\GOPR0648\GOPR0648-frame50.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\17\GOPR1584\GOPR1584-frame490.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\17\GOPR1584\GOPR1584-frame510.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1389\GOPR1389-frame270.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\A\GOPR1649\GOPR1649-frame7714.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\4\GOPR0904.JPG,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\4\GOPR0918\GOPR0918-frame770.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\19\GOPR1603\GOPR1603-frame785.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\2\GOPR1422\GOPR1422-frame990.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1201\GOPR1201-frame90.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\A\GOPR1646\GOPR1646-frame5685.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame430.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\3\GOPR0593.JPG,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\5\GOPR0632\GOPR0632-frame40.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\15\GOPR1155.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame400.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1388\GOPR1388-frame330.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\2\GOPR1422\GOPR1422-frame200.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\18\GOPR1595\GOPR1595-frame360.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1201\GOPR1201-frame310.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1202\GOPR1202-frame40.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\22\GOPR1628\GOPR1628-frame260.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\5\GOPR1455\GOPR1455-frame700.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\20\GOPR1260.JPG,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\14\GOPR1550\GOPR1550-frame0.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\8\GOPR1484\GOPR1484-frame240.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\15\GOPR1152\GOPR1152-frame200.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//2-7-18\Dirty (80-100)\5\GOPR0803.JPG,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\6\GOPR0648\GOPR0648-frame540.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\A\GOPR1649\GOPR1649-frame7701.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\22\GOPR1628\GOPR1628-frame725.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\13\GOPR1542\GOPR1542-frame340.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\2\GOPR0847.JPG,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\4\GOPR1436\GOPR1436-frame290.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\13\GOPR1111\GOPR1111-frame810.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (80-100)\22\GOPR1306\GOPR1306-frame780.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\19\GOPR1603\GOPR1603-frame495.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\7\GOPR1475\GOPR1475-frame280.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\16\GOPR1571\GOPR1571-frame90.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\18\GOPR1225\GOPR1225-frame310.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\10\GOPR1509\GOPR1509-frame650.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\1\GOPR0817.JPG,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\6\GOPR0648\GOPR0648-frame430.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\16\GOPR1180\GOPR1180-frame180.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\20\GOPR1610\GOPR1610-frame120.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame355.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\4\GOPR0918\GOPR0918-frame1190.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1641.JPG,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\8\GOPR1027\GOPR1027-frame210.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\8\GOPR1484\GOPR1484-frame690.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\2\GOPR1422\GOPR1422-frame370.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame160.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\11\GOPR1077\GOPR1077-frame170.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\3\GOPR1433\GOPR1433-frame280.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\A\GOPR1646\GOPR1646-frame4904.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\4\GOPR1436\GOPR1436-frame500.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\14\GOPR1550\GOPR1550-frame690.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\10\GOPR1509\GOPR1509-frame320.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\10\GOPR1509\GOPR1509-frame120.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\17\GOPR1584\GOPR1584-frame505.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\18\GOPR1225\GOPR1225-frame10.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\14\GOPR1133\GOPR1133-frame370.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\21\GOPR1281\GOPR1281-frame300.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1201\GOPR1201-frame580.jpg,Dirty (40-60),Dirty (40-60)
